,name,cost,address,org_name
52,Цитрамон-П таб х 10 R (Обновление),"62,00",Красноярск Советский Металлургов 8 А,Аптека «Адонис»
53,Цитрамон-П таб х 20 Озон (ОЗОН ООО),"87,00",Красноярск Советский Металлургов 8 А,Аптека «Адонис»
54,Цитрамон-П таб х 20 R (Обновление),"115,00",Красноярск Советский Металлургов 8 А,Аптека «Адонис»
55,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"19,00",Красноярск Кировский Крас раб 88 А,Аптека «Дешевая аптека»
56,ЦИТРАМОН-ЛЕКТ №20 ТАБ. ТЮМЕНСКИЙ,"51,00",Красноярск Кировский Крас раб 88 А,Аптека «Дешевая аптека»
57,ЦИТРАМОН П №20 ТАБ. ОЗОН,"107,00",Красноярск Кировский Крас раб 88 А,Аптека «Дешевая аптека»
58,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"136,00",Красноярск Кировский Крас раб 88 А,Аптека «Дешевая аптека»
59,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"50,00",Красноярск Свердловский Вавилова 1/39,Аптека «Гармония здоровья»
60,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"95,00",Красноярск Свердловский Вавилова 1/39,Аптека «Гармония здоровья»
61,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"126,00",Красноярск Свердловский Вавилова 1/39,Аптека «Гармония здоровья»
62,ЦИТРАМОН П №20 ТАБ. ОЗОН,"126,00",Красноярск Свердловский Вавилова 1/39,Аптека «Гармония здоровья»
63,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"22,00",Красноярск Октябрьский Телевизорная 1/4,Аптека «Гармония здоровья»
64,ЦИТРАМОН П №20 ТАБ. ОЗОН,"121,00",Красноярск Октябрьский Телевизорная 1/4,Аптека «Гармония здоровья»
65,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"214,00",Красноярск Октябрьский Телевизорная 1/4,Аптека «Гармония здоровья»
66,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"230,00",Красноярск Октябрьский Телевизорная 1/4,Аптека «Гармония здоровья»
67,Цитрамон П табл. №10 (Уралбиофарм ОАО),"28,00",Красноярск Свердловский Судостроительная 52 а,Аптека «Аптека СуперФарма»
68,Цитрамон П табл. №20 (Уралбиофарм ОАО),"50,00",Красноярск Свердловский Судостроительная 52 а,Аптека «Аптека СуперФарма»
69,Цитрамон П табл. №20 (Татхимфармпрепараты АО),"45,00",Красноярск Советский Шахтеров 44,Аптека «Аптека СуперФарма»
70,Цитрамон П табл. №20 (Медисорб (Пермь)),"39,00",Красноярск Железнодорожный Мира 128,Аптека «Аптека СуперФарма»
71,Цитрамон П таб №20 (Уралбиофарм),"35,00",Красноярск Советский Мате-Залки 37,Аптека «Сибирская аптека»
72,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"19,00",Красноярск Свердловский Крас раб 165,Аптека «Гармония здоровья»
73,ЦИТРАМОН П АВЕКСИМА №20 ТАБ.,"115,00",Красноярск Свердловский Крас раб 165,Аптека «Гармония здоровья»
74,ЦИТРАМОН П №20 ТАБ. ОЗОН,"126,00",Красноярск Свердловский Крас раб 165,Аптека «Гармония здоровья»
75,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"153,00",Красноярск Свердловский Крас раб 165,Аптека «Гармония здоровья»
76,Цитрамон П табл. №10 (Ирбитский ХФЗ),"22,00",Красноярск Советский 40 лет победы 30 д,Аптека «Фарм профи»
77,Цитрамон П табл. №20 (Медисорб АО),"64,50",Красноярск Советский 40 лет победы 30 д,Аптека «Фарм профи»
78,Цитрамон П табл. №30 (Медисорб АО),"71,50",Красноярск Советский 40 лет победы 30 д,Аптека «Фарм профи»
79,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"19,00",Красноярск Ленинский пр.Красноярский рабочий 56/7,Аптека «Гармония здоровья»
80,ЦИТРАМОН П №20 ТАБ. ОЗОН,"98,00",Красноярск Ленинский пр.Красноярский рабочий 56/7,Аптека «Гармония здоровья»
81,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"125,00",Красноярск Ленинский пр.Красноярский рабочий 56/7,Аптека «Гармония здоровья»
82,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"19,00",Красноярск Свердловский ул.60 лет Октября 39а,Аптека «Гармония здоровья»
83,ЦИТРАМОН П АВЕКСИМА №20 ТАБ.,"60,00",Красноярск Свердловский ул.60 лет Октября 39а,Аптека «Гармония здоровья»
84,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"67,00",Красноярск Свердловский ул.60 лет Октября 39а,Аптека «Гармония здоровья»
85,ЦИТРАМОН П №10 ТАБ. RENEWAL,"100,00",Красноярск Свердловский ул.60 лет Октября 39а,Аптека «Гармония здоровья»
86,ЦИТРАМОН П №20 ТАБ. ОЗОН,"121,00",Красноярск Свердловский ул.60 лет Октября 39а,Аптека «Гармония здоровья»
87,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"25,00",Красноярск Кировский Вавилова 31,Аптека «Дешевая аптека»
88,ЦИТРАМОН П №20 ТАБ. ОЗОН,"128,00",Красноярск Кировский Вавилова 31,Аптека «Дешевая аптека»
89,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"138,00",Красноярск Кировский Вавилова 31,Аптека «Дешевая аптека»
90,Цитрамон П табл. №10 (Фармстандарт -Лексредства ОАО),"26,00",Красноярск Октябрьский Сосновый Бор  40,Аптека «Аптека СуперФарма»
91,Цитрамон П табл. №20 (Обновление ПФК),"125,00",Красноярск Октябрьский Сосновый Бор  40,Аптека «Аптека СуперФарма»
92,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"50,00",Красноярск Советский пр.Металлургов 12,Аптека «Дешевая аптека»
93,ЦИТРАМОН П №10 ТАБ. RENEWAL,"117,00",Красноярск Советский пр.Металлургов 12,Аптека «Дешевая аптека»
94,ЦИТРАМОН П №20 ТАБ. ОЗОН,"135,00",Красноярск Советский пр.Металлургов 12,Аптека «Дешевая аптека»
95,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"145,00",Красноярск Советский пр.Металлургов 12,Аптека «Дешевая аптека»
96,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"33,00",Красноярск Октябрьский ул. Высотная 1,Аптека «Дешевая аптека»
97,ЦИТРАМОН П №20 ТАБ. ОЗОН,"107,00",Красноярск Октябрьский ул. Высотная 1,Аптека «Дешевая аптека»
98,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"127,00",Красноярск Октябрьский ул. Высотная 1,Аптека «Дешевая аптека»
99,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"51,00",Красноярск Октябрьский Высотная 27,Аптека «Гармония здоровья»
100,ЦИТРАМОН П №20 ТАБ. ОЗОН,"115,00",Красноярск Октябрьский Высотная 27,Аптека «Гармония здоровья»
101,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"148,00",Красноярск Октябрьский Высотная 27,Аптека «Гармония здоровья»
102,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"31,00",Красноярск Октябрьский Мирошниченко 6,Аптека «Гармония здоровья»
103,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"97,00",Красноярск Октябрьский Мирошниченко 6,Аптека «Гармония здоровья»
104,ЦИТРАМОН П №10 ТАБ. RENEWAL,"110,00",Красноярск Октябрьский Мирошниченко 6,Аптека «Гармония здоровья»
105,ЦИТРАМОН П №20 ТАБ. ОЗОН,"116,00",Красноярск Октябрьский Мирошниченко 6,Аптека «Гармония здоровья»
106,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"142,00",Красноярск Октябрьский Мирошниченко 6,Аптека «Гармония здоровья»
107,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"33,00",Красноярск Свердловский Судостроительная 58,Аптека «Дешевая аптека»
108,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"87,00",Красноярск Свердловский Судостроительная 58,Аптека «Дешевая аптека»
109,ЦИТРАМОН П №20 ТАБ. ОЗОН,"107,00",Красноярск Свердловский Судостроительная 58,Аптека «Дешевая аптека»
110,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"140,00",Красноярск Свердловский Судостроительная 58,Аптека «Дешевая аптека»
111,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"19,00",Красноярск Ленинский ул. Шевченко 44,Аптека «Дешевая аптека»
112,ЦИТРАМОН П №10 ТАБ. УРАЛБИОФАРМ,"25,00",Красноярск Ленинский ул. Шевченко 44,Аптека «Дешевая аптека»
113,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"93,00",Красноярск Ленинский ул. Шевченко 44,Аптека «Дешевая аптека»
114,ЦИТРАМОН П №20 ТАБ. ОЗОН,"107,00",Красноярск Ленинский ул. Шевченко 44,Аптека «Дешевая аптека»
115,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"137,00",Красноярск Ленинский ул. Шевченко 44,Аптека «Дешевая аптека»
116,Цитрамон П табл. №20 (Дальхимфарм ОАО),"30,00",Красноярск Советский 9 Мая 51,Аптека «Кырдал»
117,Цитрамон П табл. №20 (Медисорб ЗАО),"30,00",Красноярск Советский Джамбульская 2,Аптека «Кырдал»
118,Цитрамон П табл. №20 (Медисорб ЗАО),"29,00",Красноярск Советский пр. 60 лет образования СССР 14,Аптека «Кырдал»
119,Цитрамон П табл. №20 (Дальхимфарм ОАО),"29,00",Красноярск Свердловский Судостроительная 62,Аптека «Кырдал»
120,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"156,00",Красноярск Центральный ул. Дмитрия Мартынова 22,Аптека «Фарматека»
121,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"36,00",Красноярск Советский ул.Металлургов 34,Аптека «Гармония здоровья»
122,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"60,00",Красноярск Советский ул.Металлургов 34,Аптека «Гармония здоровья»
123,ЦИТРАМОН П АВЕКСИМА №20 ТАБ.,"70,00",Красноярск Советский ул.Металлургов 34,Аптека «Гармония здоровья»
124,ЦИТРАМОН П №10 ТАБ. RENEWAL,"99,00",Красноярск Советский ул.Металлургов 34,Аптека «Гармония здоровья»
125,ЦИТРАМОН П №20 ТАБ. ОЗОН,"108,00",Красноярск Советский ул.Металлургов 34,Аптека «Гармония здоровья»
126,ЦИТРАМОН П РЕНЕВАЛ №20 ТАБ. ИУ,"152,00",Красноярск Советский ул.Металлургов 34,Аптека «Гармония здоровья»
127,Цитрамон П табл. №10 (Фармстандарт-Лексредства ОАО),"21,00",Красноярск Октябрьский Академика Киренского 32,Аптека «Кырдал»
128,Цитрамон П табл. №20 (Дальхимфарм ОАО),"29,00",Красноярск Октябрьский Академика Киренского 32,Аптека «Кырдал»
129,Цитрамон П табл. №20 (Медисорб ЗАО),"31,00",Красноярск Октябрьский Академика Киренского 32,Аптека «Кырдал»
130,Цитрамон П табл. №20 (Фармстандарт-Лексредства ОАО),"80,00",Красноярск Советский Устиновича 1а/1,Аптека «Аптека Вербена»
131,Цитрамон П табл. №10 (Обновление ПФК ЗАО),"84,00",Красноярск Советский Устиновича 1а/1,Аптека «Аптека Вербена»
132,Цитрамон П таб. №20,"108,00",Красноярск Советский Водопьянова 8,Аптека «Аптека Здравсити (Живика)»
133,Цитрамон П таб №20 (Тюменский химфармзавод),"40,00",Красноярск Советский Николаева 9,Аптека «Аптека  на Николаева»
134,Цитрамон П таб №20 (Медисорб (Пермь)),"40,00",Красноярск Советский Николаева 9,Аптека «Аптека  на Николаева»
135,Цитрамон П таб №20 (Уралбиофарм ОАО),"40,00",Красноярск Советский Николаева 9,Аптека «Аптека  на Николаева»
136,Цитрамон П таб №20 Реневал (Обновление ЗАО ПФК),"115,00",Красноярск Советский Николаева 9,Аптека «Аптека  на Николаева»
137,Цитрамон П тб N 20,"49,00",Красноярск Центральный Сурикова 45,Аптека «Аптека от склада»
138,Цитрамон П Медисорб таб N 30,"66,00",Красноярск Центральный Сурикова 45,Аптека «Аптека от склада»
139,Цитрамон П Таб. Х10(G),"19,00",Красноярск Центральный Ады Лебедевой  20,Аптека «Аптека Омнифарм»
140,Цитрамон П таб. №20,"108,00",Красноярск Свердловский Матросова 8,Аптека «Аптека Здравсити (Живика)»
141,Цитрамон П таб. №20,"108,00",Красноярск Советский Авиаторов 38,Аптека «Аптека Здравсити (Живика)»
142,Цитрамон-ЭкстраКап капс. №10,"116,00",Красноярск Советский Авиаторов 38,Аптека «Аптека Здравсити (Живика)»
143,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"105,00",Красноярск Советский 9 Мая 46,Аптека «Нейрон»
144,Цитрамон П Реневал табл. №20 (Обновление ПФК ЗАО),"137,00",Красноярск Свердловский 60 лет Октября 62,Аптека «Нейрон»
145,ЦИТРАМОН П №10 ТАБ. ИРБИТСКИЙ,"24,00",Красноярск Железнодорожный Железнодорожников 8,Аптека «Аптека Эконом»
146,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"25,00",Красноярск Железнодорожный Железнодорожников 8,Аптека «Аптека Эконом»
147,ЦИТРАМОН П №20 ТАБ. МЕДИСОРБ,"35,00",Красноярск Железнодорожный Железнодорожников 8,Аптека «Аптека Эконом»
148,ЦИТРАМОН П №10 ТАБ. RENEWAL,"64,00",Красноярск Железнодорожный Железнодорожников 8,Аптека «Аптека Эконом»
149,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"66,00",Красноярск Железнодорожный Железнодорожников 8,Аптека «Аптека Эконом»
150,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"98,00",Красноярск Железнодорожный Железнодорожников 8,Аптека «Аптека Эконом»
151,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"27,50",Красноярск Свердловский Парашютная 74а,Аптека «Аптека Эконом»
152,ЦИТРАМОН П №20 ТАБ. МЕДИСОРБ,"36,00",Красноярск Свердловский Парашютная 74а,Аптека «Аптека Эконом»
153,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"44,50",Красноярск Свердловский Парашютная 74а,Аптека «Аптека Эконом»
154,ЦИТРАМОН П №10 ТАБ. RENEWAL,"76,00",Красноярск Свердловский Парашютная 74а,Аптека «Аптека Эконом»
155,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"100,00",Красноярск Свердловский Парашютная 74а,Аптека «Аптека Эконом»
156,ЦИТРАМОН П №10 ТАБ. ИРБИТСКИЙ,"25,50",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
157,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"28,00",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
158,ЦИТРАМОН П №20 ТАБ. МЕДИСОРБ,"41,00",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
159,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"70,00",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
160,ЦИТРАМОН П №10 ТАБ. RENEWAL,"74,00",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
161,ЦИТРАМОН ЭКСТРАКАП №10 КАПС. ФАРМСТАНДАРТ,"79,00",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
162,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"109,00",Красноярск Советский Воронова 16,Аптека «Аптека Эконом»
163,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"26,00",Красноярск Кировский Павлова 33,Аптека «Аптека Эконом»
164,ЦИТРАМОН-ЛЕКТ №20 ТАБ. ТЮМЕНСКИЙ,"40,00",Красноярск Кировский Павлова 33,Аптека «Аптека Эконом»
165,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"66,00",Красноярск Кировский Павлова 33,Аптека «Аптека Эконом»
166,ЦИТРАМОН П №10 ТАБ. RENEWAL,"69,00",Красноярск Кировский Павлова 33,Аптека «Аптека Эконом»
167,ЦИТРАМОН ЭКСТРАКАП №10 КАПС. ФАРМСТАНДАРТ,"73,00",Красноярск Кировский Павлова 33,Аптека «Аптека Эконом»
168,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"96,00",Красноярск Кировский Павлова 33,Аптека «Аптека Эконом»
169,ЦИТРАМОН П №10 ТАБ. ИРБИТСКИЙ,"24,50",Красноярск Свердловский Королева 1а,Аптека «Аптека Эконом»
170,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"28,00",Красноярск Свердловский Королева 1а,Аптека «Аптека Эконом»
171,ЦИТРАМОН П №20 ТАБ. МЕДИСОРБ,"42,50",Красноярск Свердловский Королева 1а,Аптека «Аптека Эконом»
172,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"70,00",Красноярск Свердловский Королева 1а,Аптека «Аптека Эконом»
173,ЦИТРАМОН П №10 ТАБ. RENEWAL,"82,00",Красноярск Свердловский Королева 1а,Аптека «Аптека Эконом»
174,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"104,00",Красноярск Свердловский Королева 1а,Аптека «Аптека Эконом»
175,ЦИТРАМОН П №10 ТАБ. ИРБИТСКИЙ,"26,50",Красноярск Железнодорожный Свободный 36,Аптека «Аптека Эконом»
176,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"27,50",Красноярск Железнодорожный Свободный 36,Аптека «Аптека Эконом»
177,ЦИТРАМОН П №20 ТАБ. МЕДИСОРБ,"42,50",Красноярск Железнодорожный Свободный 36,Аптека «Аптека Эконом»
178,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"69,00",Красноярск Железнодорожный Свободный 36,Аптека «Аптека Эконом»
179,ЦИТРАМОН П №10 ТАБ. RENEWAL,"77,00",Красноярск Железнодорожный Свободный 36,Аптека «Аптека Эконом»
180,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"111,00",Красноярск Железнодорожный Свободный 36,Аптека «Аптека Эконом»
181,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"25,00",Красноярск Железнодорожный Калинина 8,Аптека «Аптека Эконом»
182,ЦИТРАМОН П №20 ТАБ. УРАЛБИОФАРМ,"48,00",Красноярск Железнодорожный Калинина 8,Аптека «Аптека Эконом»
183,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"69,00",Красноярск Железнодорожный Калинина 8,Аптека «Аптека Эконом»
184,ЦИТРАМОН П №10 ТАБ. RENEWAL,"81,00",Красноярск Железнодорожный Калинина 8,Аптека «Аптека Эконом»
185,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"110,00",Красноярск Железнодорожный Калинина 8,Аптека «Аптека Эконом»
186,ЦИТРАМОН П №10 ТАБ. ИРБИТСКИЙ,"21,50",Красноярск Советский Ястынская 6,Аптека «Аптека Эконом»
187,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"25,00",Красноярск Советский Ястынская 6,Аптека «Аптека Эконом»
188,ЦИТРАМОН П №20 ТАБ. МЕДИСОРБ,"41,00",Красноярск Советский Ястынская 6,Аптека «Аптека Эконом»
189,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"68,00",Красноярск Советский Ястынская 6,Аптека «Аптека Эконом»
190,ЦИТРАМОН П №10 ТАБ. RENEWAL,"77,00",Красноярск Советский Ястынская 6,Аптека «Аптека Эконом»
191,ЦИТРАМОН П №20 ТАБ. ИУ RENEWAL,"98,00",Красноярск Советский Ястынская 6,Аптека «Аптека Эконом»
192,ЦИТРАМОН П №10 ТАБ. ФАРМСТАНДАРТ,"22,50",Красноярск Советский Молокова 54,Аптека «Аптека Эконом»
193,ЦИТРАМОН П №20 ТАБ. УРАЛБИОФАРМ,"53,00",Красноярск Советский Молокова 54,Аптека «Аптека Эконом»
194,ЦИТРАМОН П №20 ТАБ. ФАРМСТАНДАРТ,"67,00",Красноярск Советский Молокова 54,Аптека «Аптека Эконом»
195,ЦИТРАМОН ЭКСТРАКАП №10 КАПС. ФАРМСТАНДАРТ,"74,00",Красноярск Советский Молокова 54,Аптека «Аптека Эконом»
